Tên acc,Mã VN,SĐT,Pass,Họ,Tên,Mã GT,Mã mời,Fix
Pi 001,+84,2363595410,Nxnit@0001,Võ,Bá Hải,Xuannxn0001,thanhnd1982,1
Pi 002,+84,2363595411,Nxnit@0002,Phan,Chí Quân,Xuannxn0002,thanhnd1982,1
Pi 003,+84,2363595412,Nxnit@0003,Phùng,Bá Hải,Xuannxn0003,thanhnd1982,1
Pi 004,+84,2363595413,Nxnit@0004,Lý,Xuân Nguyệt,Xuannxn0004,thanhnd1982,1
Pi 005,+84,2363595414,Nxnit@0005,Võ,Văn Nguyệt,Xuannxn0005,thanhnd1982,1
Pi 006,+84,2363595415,Nxnit@0006,Phan,Văn Hải,Xuannxn0006,thanhnd1982,1
Pi 007,+84,2363595416,Nxnit@0007,Bế,Văn Trinh,Xuannxn0007,thanhnd1982,1
Pi 008,+84,2363595417,Nxnit@0008,Bế,Bá Sơn,Xuannxn0008,thanhnd1982,1
Pi 009,+84,2363595418,Nxnit@0009,Cao,Tấn Hải,Xuannxn0009,thanhnd1982,1
Pi 010,+84,2363595419,Nxnit@0010,Võ,Tấn Mai,Xuannxn0010,thanhnd1982,1
Pi 011,+84,2363595420,Nxnit@0011,Lý,Xuân Trinh,Xuannxn0011,thanhnd1982,1
Pi 012,+84,2363595421,Nxnit@0012,Lý,Minh Sơn,Xuannxn0012,thanhnd1982,1
Pi 013,+84,2363595422,Nxnit@0013,Võ,Chí Hải,Xuannxn0013,thanhnd1982,1
Pi 014,+84,2363595423,Nxnit@0014,Nguyễn,Minh Thủy,Xuannxn0014,thanhnd1982,1
Pi 015,+84,2363595424,Nxnit@0015,Nguyễn,Bá Sơn,Xuannxn0015,thanhnd1982,1
Pi 016,+84,2363595425,Nxnit@0016,Nguyễn,Chí Nguyệt,Xuannxn0016,thanhnd1982,1
Pi 017,+84,2363595426,Nxnit@0017,Cao,Minh Quân,Xuannxn0017,thanhnd1982,1
Pi 018,+84,2363595427,Nxnit@0018,Phùng,Minh Nguyệt,Xuannxn0018,thanhnd1982,1
Pi 019,+84,2363595428,Nxnit@0019,Bế,Thị Nguyệt,Xuannxn0019,thanhnd1982,1
Pi 020,+84,2363595429,Nxnit@0020,Phan,Xuân Trinh,Xuannxn0020,thanhnd1982,1
Pi 021,+84,2363595430,Nxnit@0021,Bế,Bá Mai,Xuannxn0021,thanhnd1982,1
Pi 022,+84,2363595431,Nxnit@0022,Phan,Tấn Thức,Xuannxn0022,thanhnd1982,1
Pi 023,+84,2363595432,Nxnit@0023,Nguyễn,Tấn Thủy,Xuannxn0023,thanhnd1982,1
Pi 024,+84,2363595433,Nxnit@0024,Phan,Thị Thức,Xuannxn0024,thanhnd1982,1
Pi 025,+84,2363595434,Nxnit@0025,Phan,Bá Nguyệt,Xuannxn0025,thanhnd1982,1
Pi 026,+84,2363595435,Nxnit@0026,Bế,Văn Thức,Xuannxn0026,thanhnd1982,1
Pi 027,+84,2363595436,Nxnit@0027,Bế,Tấn Sơn,Xuannxn0027,thanhnd1982,1
Pi 028,+84,2363595437,Nxnit@0028,Nguyễn,Bá Thức,Xuannxn0028,thanhnd1982,1
Pi 029,+84,2363595438,Nxnit@0029,Phùng,Tấn Sơn,Xuannxn0029,thanhnd1982,1
Pi 030,+84,2363595439,Nxnit@0030,Lý,Văn Hải,Xuannxn0030,thanhnd1982,1
Pi 031,+84,2363595440,Nxnit@0031,Phan,Xuân Hải,Xuannxn0031,thanhnd1982,1
Pi 032,+84,2363595441,Nxnit@0032,Cao,Minh Thức,Xuannxn0032,thanhnd1982,1
Pi 033,+84,2363595442,Nxnit@0033,Lý,Tấn Thức,Xuannxn0033,thanhnd1982,1
Pi 034,+84,2363595443,Nxnit@0034,Phan,Văn Quân,Xuannxn0034,thanhnd1982,1
Pi 035,+84,2363595444,Nxnit@0035,Mạc,Minh Trinh,Xuannxn0035,thanhnd1982,1
Pi 036,+84,2363595445,Nxnit@0036,Phan,Thị Quân,Xuannxn0036,thanhnd1982,1
Pi 037,+84,2363595446,Nxnit@0037,Phan,Văn Trinh,Xuannxn0037,thanhnd1982,1
Pi 038,+84,2363595447,Nxnit@0038,Cao,Bá Thủy,Xuannxn0038,thanhnd1982,1
Pi 039,+84,2363595448,Nxnit@0039,Phan,Chí Trinh,Xuannxn0039,thanhnd1982,1
Pi 040,+84,2363595449,Nxnit@0040,Mạc,Văn Quân,Xuannxn0040,thanhnd1982,1
